@relation news_aggregator

@attribute Pendidikan numeric
@attribute Politik numeric
@attribute HukumdanKriminal numeric
@attribute SosialBudaya numeric
@attribute Olahraga numeric
@attribute TeknologidanSains numeric
@attribute Hiburan numeric
@attribute BisnisdanEkonomi numeric
@attribute Kesehatan numeric
@attribute BencanadanKecelakaan numeric
@attribute label {Pendidikan, Politik, HukumdanKriminal, SosialBudaya, Olahraga, TeknologidanSains, Hiburan, BisnisdanEkonomi, Kesehatan, BencanadanKecelakaan}

@data
2,3,12,4,1,3,1,1,0,2,HukumdanKriminal
1,1,15,2,0,2,2,2,0,5,HukumdanKriminal
1,2,17,0,0,0,0,2,2,1,HukumdanKriminal
3,8,27,2,0,0,3,6,1,5,HukumdanKriminal
4,1,13,2,0,1,2,3,1,5,HukumdanKriminal
3,0,8,0,0,0,1,0,0,5,HukumdanKriminal
0,8,21,4,0,0,2,2,0,0,HukumdanKriminal
0,4,13,2,0,0,2,2,0,1,HukumdanKriminal
0,5,18,4,0,0,2,4,1,5,HukumdanKriminal
0,5,25,2,0,0,4,7,1,2,HukumdanKriminal
1,1,13,3,0,1,2,2,2,1,HukumdanKriminal
3,0,14,3,1,0,2,0,2,10,HukumdanKriminal
0,0,5,2,0,0,1,0,0,2,HukumdanKriminal
1,4,22,5,0,2,4,2,4,10,HukumdanKriminal
3,4,18,4,0,1,3,2,1,4,HukumdanKriminal
0,6,15,5,0,1,5,3,1,3,HukumdanKriminal
1,4,21,4,0,1,2,4,1,4,HukumdanKriminal
1,0,7,0,0,0,1,1,0,7,HukumdanKriminal
0,1,17,1,1,0,4,0,3,5,HukumdanKriminal
2,3,21,3,0,1,1,2,1,5,HukumdanKriminal
3,7,17,3,2,1,5,3,1,6,HukumdanKriminal
0,1,10,3,0,2,2,3,4,9,HukumdanKriminal
2,8,26,3,1,0,1,5,5,3,HukumdanKriminal
1,2,6,1,0,0,1,1,0,1,HukumdanKriminal
0,3,19,0,0,1,4,1,1,1,HukumdanKriminal
0,2,16,1,0,0,4,1,1,1,HukumdanKriminal
3,7,30,6,1,1,1,2,1,5,HukumdanKriminal
1,7,14,5,0,1,3,5,3,4,HukumdanKriminal
0,8,15,3,2,1,2,4,1,2,HukumdanKriminal
1,5,22,0,0,0,3,2,2,10,HukumdanKriminal
0,7,11,3,0,0,1,0,1,0,HukumdanKriminal
2,7,23,3,0,1,1,10,0,0,HukumdanKriminal
0,1,11,1,0,1,2,1,0,5,HukumdanKriminal
1,2,13,2,0,1,3,0,0,2,HukumdanKriminal
0,6,13,3,0,0,6,1,0,4,HukumdanKriminal
1,4,15,2,0,1,1,1,1,6,HukumdanKriminal
0,0,9,0,1,0,0,0,2,18,HukumdanKriminal
